Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Cantidad Gastada a la Fecha
3,P.S. 242 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,230698,187606.0,-21.23,729.0,181719.0
3,P.S. 163 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1461598,424132.0,-71.32,729.0,419124.0
3,P.S. 165 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Construction,In-Progress,683061,620702.0,-98.83,364.0,7968.0
3,P.S. 165 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,"CM,F&E",In-Progress,126602,92639.0,-30.19,364.0,88382.0
3,P.S. 165 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,In-Progress,3021,29323.0,-38.36,124.0,1862.0
3,P.S. 166 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1377423,1100910.0,-23.09,779.0,1059365.0
3,P.S. 166 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,1546875,1482290.0,-13.08,364.0,1344487.0
3,P.S. 185 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,345820,310900.0,-16.35,329.0,289277.0
3,P.S. 185 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,234789,202681.0,-15.83,329.0,197623.0
3,P.S. 452 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Infraestructura escolar,"CM,F&E",In-Progress,869890,282711.0,-69.24,729.0,267559.0
3,P.S. 452 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Construction,In-Progress,1233650,1170177.0,-14.83,269.0,1050727.0
3,P.S. 199 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,255200,227463.0,-99.15,299.0,2163.0
3,P.S. 199 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,51564,32635.0,-82.79,299.0,8875.0
3,INNOVATION DIPLOMA PLUS,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,786541,202184.0,-75.79,729.0,190431.0
3,FIORELLO LAGUARDIA HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,2280149,2145863.0,-14.24,539.0,1955376.0
3,FIORELLO LAGUARDIA HS - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Construction,In-Progress,4192225,2598515.0,-38.83,539.0,2564537.0
3,SCHOOL SAFETY - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,629650,157608.0,-75.75,914.0,152702.0
3,HS FOR ARTS & TECHNOLOGY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,1681875,1696592.0,-92.08,539.0,133147.0
3,HS FOR ARTS & TECHNOLOGY - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,104650,87319.0,-38.58,539.0,64281.0
3,3K CENTER @ 1972 BROADWAY - MANHATTAN,Adecuaciones para Educación Inicial 3K,Otro,"CM,F&E",In-Progress,2648800,877415.0,-34.88,447.0,1724821.0
3,WEST END SECONDARY SCHOOL - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Construction,In-Progress,295351,208878.0,-92.64,364.0,21745.0
3,WEST END SECONDARY SCHOOL - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,"CM,F&E",In-Progress,49925,54520.0,-30.38,364.0,34760.0
3,M811 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Construction,In-Progress,6340318,5755968.0,-70.6,539.0,1864098.0
3,M811 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,394509,147849.0,-63.68,539.0,143296.0
3,M811 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,261000,233371.0,-79.12,364.0,54487.0
3,M811 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,85737,63686.0,-52.31,364.0,40891.0
4,P.S. 7 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,In-Progress,437829,437829.0,-99.0,154.0,4381.0
4,P.S. 497 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,In-Progress,607409,703376.0,-29.78,154.0,426526.0
4,P.S. 57 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,198679,186643.0,-20.17,329.0,158604.0
4,P.S. 57 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,142519,138055.0,-12.95,329.0,124065.0
4,P.S. 72 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,271948,248967.0,-20.89,329.0,215141.0
4,P.S. 72 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,155435,130930.0,-24.77,329.0,116928.0
4,P.S. 96 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,677603,422270.0,-38.1,729.0,419426.0
4,P.S. 96 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,231173,215491.0,-19.05,329.0,187140.0
