Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
2,THE HIGH SCHOOL FOR CLIMATE JUSTICE,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,75078,92585.0,23.32,91.0,393.0,302.0,92585.0
2,THE HIGH SCHOOL FOR CLIMATE JUSTICE,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,375390,367778.0,-20.61,187.0,323.0,136.0,298012.0
2,SCHOOL OF THE FUTURE - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,180499,136798.0,-38.32,154.0,146.0,-8.0,111323.0
2,SCHOOL OF THE FUTURE - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,6200,11767.0,89.79,126.0,56.0,-70.0,11767.0
2,SCHOOL OF THE FUTURE - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,27900,47071.0,68.71,181.0,131.0,-50.0,47071.0
2,MILLENNIUM HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,140676,220325.0,56.62,126.0,59.0,-67.0,220325.0
2,HS FOR ECONOMICS & FINANCE - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,43701,48744.0,11.54,123.0,231.0,108.0,48744.0
2,HS FOR ECONOMICS & FINANCE - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,218503,200082.0,-19.03,108.0,80.0,-28.0,176926.0
2,HS FOR ENVIRONMENTAL STUDIES - M,Proyecto de Mejoramiento General (CIP),Otro,Design,Complete,126250,327056.0,35.42,153.0,99.0,-54.0,170965.0
2,HS FOR ENVIRONMENTAL STUDIES - M,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Scope,Complete,34972,60798.0,73.85,155.0,209.0,54.0,60798.0
2,HS FOR ENVIRONMENTAL STUDIES - M,Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,Complete,174858,193384.0,-3.05,152.0,280.0,128.0,169529.0
2,M721 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,45876,58647.0,-21.13,139.0,210.0,71.0,36183.0
