Distrito Geografico,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada,Duración Proyectada,Desviación Presupuestaria
2,P.S. 225 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / EXTERIOR DOORS / PARAPETS / WINDOWS,Construction,In-Progress,21282452,20025738.0,15058766.0,729.0,-29.24
2,P.S. 225 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY / EXTERIOR DOORS / PARAPETS / WINDOWS,"CM,F&E",In-Progress,1460742,739489.0,733982.0,729.0,-49.75
2,P.S. 225 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID BMS UPGRADE,Construction,In-Progress,3264430,3890512.0,1376112.0,547.0,-57.85
2,P.S. 225 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID BMS UPGRADE,"CM,F&E",In-Progress,256902,298301.0,294667.0,547.0,14.7
2,P.S. 225 - MANHATTAN,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Design,In-Progress,72000,59248.0,16549.0,138.0,-77.02
2,P.S. 225 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,In-Progress,10326,1017.0,1017.0,125.0,-90.15
2,P.S. 225 - MANHATTAN,SCA CIP RESOA,FY23 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Construction,In-Progress,3443514,2483807.0,3107.0,539.0,-99.91
2,P.S. 225 - MANHATTAN,SCA CIP RESOA,FY23 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,"CM,F&E",In-Progress,234785,20331.0,20331.0,539.0,-91.34
2,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY20 RESO A GREENROOF,Construction,In-Progress,2856700,2702316.0,373475.0,539.0,-86.93
2,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY20 RESO A GREENROOF,"CM,F&E",In-Progress,194775,212285.0,207894.0,539.0,6.74
2,P.S. 59 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,In-Progress,30000,23847.0,1550.0,141.0,-94.83
2,BERGTRAUM HS - MANHATTAN,SCA CIP,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,Construction,In-Progress,8008876,8691756.0,6754474.0,729.0,-15.66
2,BERGTRAUM HS - MANHATTAN,SCA CIP,VENTILATION @ M520 / AUDITORIUM CEILING REPLACEMENT,"CM,F&E",In-Progress,498330,310620.0,283665.0,729.0,-43.08
2,BERGTRAUM HS - MANHATTAN,SCA CIP,ROOFS / WINDOWS / DOMESTIC PIPING,Construction,In-Progress,16675372,15050776.0,1777287.0,729.0,-89.34
2,BERGTRAUM HS - MANHATTAN,SCA CIP,ROOFS / WINDOWS / DOMESTIC PIPING,"CM,F&E",In-Progress,1086024,66740.0,66740.0,729.0,-93.85
2,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,Construction,In-Progress,2356875,2160426.0,1403101.0,484.0,-40.47
2,BERGTRAUM HS - MANHATTAN,SCA CIP,CAFETERIA UPGRADE,"CM,F&E",In-Progress,146650,52740.0,52740.0,484.0,-64.04
2,BERGTRAUM HS - MANHATTAN,SCA CIP,ATHLETIC FIELD UPGRADE,Design,In-Progress,419648,419648.0,175727.0,176.0,-58.13
2,BERGTRAUM HS - MANHATTAN,SCA CIP,FIELD HOUSE,Scope,In-Progress,75249,75249.0,1808.0,122.0,-97.6
2,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,Construction,In-Progress,12311996,13031051.0,12326037.0,321.0,0.11
2,3K CENTER @ 403 EAST 65 STREET - MANHATTAN,3K,LEASE,"CM,F&E",In-Progress,1887927,574921.0,1167229.0,321.0,-38.17
2,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,Construction,In-Progress,15246363,15772302.0,15068740.0,188.0,-1.17
2,3K CENTER @ 1010 THIRD AVENUE - MANHATTAN,3K,LEASE,"CM,F&E",In-Progress,2149267,711945.0,1454152.0,188.0,-32.34
2,MANHATTAN BRIDGES - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS,Construction,In-Progress,17007903,15451512.0,12647311.0,729.0,-25.64
