Distrito Geografico,ID Edificio,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Fecha de Inicio,Fecha de Fin Proyectada,Fecha de Fin Real,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada
29,Q195,P.S. 195 - QUEENS,SCA CIP,WATER PENETRATION / PARAPETS / ROOFS,Scope,Complete,8/2/2019,12/19/2019,5/24/2021,80105,68383.0,61827.0
29,Q195,P.S. 195 - QUEENS,SCA CIP,WATER PENETRATION / PARAPETS / ROOFS,Design,Complete,5/26/2021,10/27/2021,5/12/2022,400526,350430.0,350430.0
29,Q238,I.S. 238 - QUEENS,SCA CIP,PARAPETS / EXTERIOR MASONRY / WINDOWS / PLAYGROUND REDEVELOPMENT,Scope,Complete,11/8/2018,3/26/2019,3/1/2019,208401,139787.0,112537.0
29,Q238,I.S. 238 - QUEENS,SCA CIP,PARAPETS / EXTERIOR MASONRY / WINDOWS / PLAYGROUND REDEVELOPMENT,Design,Complete,3/1/2019,7/31/2019,5/10/2022,1042001,690811.0,642453.0
29,Q238,I.S. 238 - QUEENS,SCA CIP,ROOFS,Scope,Complete,9/6/2024,9/6/2024,9/6/2024,82656,0.0,0.0
29,Q238,I.S. 238 - QUEENS,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,410.0,410.0
29,Q238,I.S. 238 - QUEENS,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,19693.0,19693.0
29,Q263,P.S. /I.S 295 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT,Scope,Complete,1/17/2020,6/3/2020,6/28/2021,116100,125708.0,125708.0
29,Q263,P.S. /I.S 295 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT,Design,Complete,8/26/2021,2/1/2022,2/23/2022,572361,436832.0,413369.0
29,Q268,P.S. 268 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,7/8/2022,11/23/2022,8/24/2023,26008,94172.0,91287.0
29,Q268,P.S. 268 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,Complete,9/21/2023,2/27/2024,4/25/2024,117036,93397.0,71370.0
29,Q268,P.S. 268 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,12/13/2022,4/14/2023,1/3/2023,3168,3791.0,3791.0
29,Q268,P.S. 268 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,1/3/2023,6/29/2023,5/3/2023,14254,15165.0,15165.0
29,Q268,P.S. 268 - QUEENS,SCA CIP RESOA,FY18 RESO A ROOFTOP PLAYGROUND,Design,Complete,1/16/2019,6/3/2019,5/18/2020,46500,95184.0,95184.0
29,Q270,P.S. / I.S. 270 - QUEENS,SCA CIP,GYM ROOF / GYM FLOOR REPLACEMENT / PATH OF TRAVEL GYM FLOOR REPLACEMENT / EXTERIOR MASONRY,Scope,Complete,4/20/2021,2/11/2022,1/19/2022,36710,46720.0,46720.0
29,Q270,P.S. / I.S. 270 - QUEENS,SCA CIP,GYM ROOF / GYM FLOOR REPLACEMENT / PATH OF TRAVEL GYM FLOOR REPLACEMENT / EXTERIOR MASONRY,Design,Complete,1/20/2022,3/9/2022,3/2/2022,170636,134348.0,128348.0
29,Q420,G. WASHINGTON CARVER HS FOR SCI.-Q,SCA CIP,COVID VENTILATION / FY21 RESO A SUPPLEMENTAL COOLING / COVID FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,8/6/2020,10/28/2021,6/17/2022,76540,130195.0,126200.0
29,Q420,G. WASHINGTON CARVER HS FOR SCI.-Q,SCA CIP,COVID VENTILATION / FY21 RESO A SUPPLEMENTAL COOLING / COVID FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/31/2022,2/28/2023,3/10/2023,382701,414723.0,307028.0
29,Q420,G. WASHINGTON CARVER HS FOR SCI.-Q,SCA CIP RESOA,FY20 RESO A ROOM CONVERSION / FY20 RESO A PATH OF TRAVEL ROOM CONVERSION,Design,Complete,1/19/2023,5/5/2023,4/28/2023,115311,96981.0,85794.0
29,Q490,"MATH, SCI., RESEARCH & TECH. HS-Q",SCA CIP,SCIENCE LAB UPGRADES,Scope,Complete,11/30/2021,3/18/2022,2/9/2022,22260,38010.0,38010.0
29,Q490,"MATH, SCI., RESEARCH & TECH. HS-Q",SCA CIP,SCIENCE LAB UPGRADES,Design,Complete,2/16/2022,7/19/2022,5/9/2022,111300,152043.0,152043.0
29,Q490,"MATH, SCI., RESEARCH & TECH. HS-Q",SCA CIP RESOA,FY20 RESO A LOW VOLTAGE,Design,Complete,5/26/2021,10/27/2021,9/28/2021,96813,24428.0,24428.0
29,Q490,HEALTH ARTS ROBOTICS AND TECHNOLOGY HS - Q,SCA CIP RESOA,FY22 RESO A AUDITORIUM UPGRADE,Design,Complete,9/9/2022,2/14/2023,2/17/2023,50280,60496.0,47880.0
29,Q490,HEALTH ARTS ROBOTICS AND TECHNOLOGY HS - Q,SCA CIP RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,Complete,7/17/2023,5/11/2024,4/11/2024,737440,659550.0,576938.0
29,Q490,HEALTH ARTS ROBOTICS AND TECHNOLOGY HS - Q,SCA CIP RESOA,FY22 RESO A AUDITORIUM UPGRADE,"CM,F&E",Complete,7/17/2023,5/11/2024,4/11/2024,50280,96345.0,56472.0
29,Q490,HEALTH ARTS ROBOTICS AND TECHNOLOGY HS - Q,SCA CIP RESOA,FY24 RESO A SCIENCE LAB UPGRADE,Design,Complete,4/8/2024,9/9/2024,8/16/2024,29775,42590.0,17694.0
29,Q490,HEALTH ARTS ROBOTICS AND TECHNOLOGY HS - Q,SCA CIP RESOA,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Design,Complete,4/8/2024,8/6/2024,8/16/2024,225,225.0,0.0
29,Q490,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,Complete,3/15/2024,6/14/2024,5/23/2024,267,267.0,267.0
29,Q490,JACKSON H.S.,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,60.0,60.0
29,Q490,JACKSON H.S.,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,17481.0,17481.0
29,Q822,Q811 SPED - QUEENS,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,5/17/2019,10/2/2019,9/5/2019,11789,6339.0,6339.0
